"","pid","hid","sex","mastat","age","qfachi","lknbrd","paygu","region","wave","N","pay_lag","paych"
"1",10004491,1000381,1,6,28,2,1,NA,1,1,2,NA,NA
"2",10004491,2000148,1,6,29,2,1,NA,1,2,2,NA,NA
"3",10004521,1000381,1,6,26,2,1,NA,1,1,2,NA,NA
"4",10004521,2000148,1,6,27,2,NA,NA,1,2,2,NA,NA
"5",10007857,1000667,2,3,57,5,2,780,1,1,2,NA,NA
"6",10007857,2000296,2,3,59,5,2,611.970825195312,1,2,2,780,-168.029174804688
"7",10014578,1001221,2,1,54,7,1,NA,1,1,2,NA,NA
"8",10014578,2000369,2,1,55,7,1,NA,1,2,2,NA,NA
"9",10014608,1001221,1,1,57,1,1,3302.54052734375,1,1,2,NA,NA
"10",10014608,2000369,1,1,58,1,1,3442.64819335938,1,2,2,3302.54052734375,140.107666015625
"11",10016813,1001418,1,1,36,5,1,NA,1,1,2,NA,NA
"12",10016813,2000504,1,1,37,5,1,NA,1,2,2,NA,NA
"13",10016848,1001418,2,1,32,NA,NA,NA,1,1,2,NA,NA
"14",10016848,2000504,2,1,33,5,1,614.47265625,1,2,2,NA,NA
"15",10017933,1001507,2,1,49,2,1,NA,1,1,2,NA,NA
"16",10017933,2000717,2,1,49,2,1,NA,1,2,2,NA,NA
"17",10017968,1001507,1,1,46,2,1,1541.66662597656,1,1,2,NA,NA
"18",10017968,2000717,1,1,46,2,1,1707.31335449219,1,2,2,1541.66662597656,165.646728515625
"19",10019057,1001604,2,6,59,7,1,NA,1,1,2,NA,NA
"20",10019057,2000938,2,6,60,7,1,NA,1,2,2,NA,NA
"21",10020179,1001698,1,4,52,7,1,NA,1,1,2,NA,NA
"22",10020179,2001004,1,4,53,7,1,NA,1,2,2,NA,NA
"23",10020209,1001698,2,4,50,7,1,862.333312988281,1,1,2,NA,NA
"24",10020209,2001004,2,4,51,7,1,693.533508300781,1,2,2,862.333312988281,-168.7998046875
"25",10020233,1001698,1,6,19,5,1,NA,1,1,2,NA,NA
"26",10020233,2001004,1,6,20,5,1,NA,1,2,2,NA,NA
"27",10023526,1001973,2,6,38,7,1,845,1,1,2,NA,NA
"28",10023526,2001217,2,1,39,7,1,953.333312988281,1,2,2,845,108.333312988281
"29",10023569,1001973,1,6,35,5,1,NA,1,1,2,NA,NA
"30",10023569,2001217,1,1,36,5,1,433.333343505859,1,2,2,NA,NA
"31",10024646,1002066,1,6,25,4,1,600.4619140625,1,1,2,NA,NA
"32",10024646,2001357,1,6,26,4,1,800.615844726562,1,2,2,600.4619140625,200.153930664062
"33",10025766,1002163,1,6,24,3,1,NA,1,1,2,NA,NA
"34",10025766,2001438,1,6,25,3,1,NA,1,2,2,NA,NA
"35",10025804,1002163,1,6,28,NA,NA,NA,1,1,2,NA,NA
"36",10025804,2001438,1,6,29,4,1,NA,1,2,2,NA,NA
"37",10028005,1002341,1,6,30,5,1,1501.15478515625,1,1,2,NA,NA
"38",10028005,2001586,1,6,31,5,1,1636.25866699219,1,2,2,1501.15478515625,135.103881835938
"39",10028382,1002376,1,6,23,3,1,2166.25,1,1,2,NA,NA
"40",10028382,2001659,1,6,24,3,1,2146.75,1,2,2,2166.25,-19.5
"41",10029133,1002449,2,2,29,4,2,917.705932617188,1,1,2,NA,NA
"42",10029133,2002019,2,6,30,4,1,966.74365234375,1,2,2,917.705932617188,49.0377197265625
"43",10040331,1003372,2,4,38,7,1,NA,1,1,2,NA,NA
"44",10040331,2002086,2,4,39,7,1,NA,1,2,2,NA,NA
"45",10040366,1003372,2,6,20,7,1,NA,1,1,2,NA,NA
"46",10040366,2002086,2,6,21,7,1,NA,1,2,2,NA,NA
"47",10040404,1003372,2,6,18,5,1,NA,1,1,2,NA,NA
"48",10040404,2002086,2,6,18,5,1,NA,1,2,2,NA,NA
"49",10047069,1003933,1,1,30,7,1,NA,1,1,2,NA,NA
"50",10047069,2002507,1,1,31,7,2,NA,1,2,2,NA,NA
"51",10047093,1003933,2,1,29,7,1,NA,1,1,2,NA,NA
"52",10047093,2002507,2,1,29,7,2,NA,1,2,2,NA,NA
"53",10048189,1004026,1,1,47,NA,NA,NA,1,1,2,NA,NA
"54",10048189,2002728,1,1,48,NA,NA,NA,1,2,2,NA,NA
"55",10048219,1004026,2,1,43,7,1,394.333343505859,1,1,2,NA,NA
"56",10048219,2002728,2,1,43,7,1,403,1,2,2,394.333343505859,8.66665649414062
"57",10048243,1004026,2,6,21,5,NA,908.753173828125,1,1,2,NA,NA
"58",10048243,2002728,2,6,22,5,1,909.699768066406,1,2,2,908.753173828125,0.94659423828125
"59",10048278,1004026,2,6,19,3,1,260,1,1,2,NA,NA
"60",10048278,2002728,2,6,20,3,1,225.33332824707,1,2,2,260,-34.6666717529297
"61",10049304,1004123,2,1,35,7,1,221,1,1,2,NA,NA
"62",10049304,2003082,2,1,36,7,1,NA,1,2,2,221,NA
"63",10049339,1004123,1,1,43,4,1,NA,1,1,2,NA,NA
"64",10049339,2003082,1,1,44,4,1,NA,1,2,2,NA,NA
"65",10051538,1004301,2,6,22,5,2,NA,1,1,2,NA,NA
"66",10051538,2003368,2,6,23,5,1,NA,1,2,2,NA,NA
"67",10055266,1004611,2,6,24,5,2,NA,1,1,2,NA,NA
"68",10055266,2003724,2,6,25,5,2,NA,1,2,2,NA,NA
"69",10057137,1004778,2,6,27,4,1,1300,1,1,2,NA,NA
"70",10057137,2003937,2,6,28,4,1,1351.03930664062,1,2,2,1300,51.039306640625
"71",10058257,1004867,1,6,34,2,1,NA,1,1,2,NA,NA
"72",10058257,2004003,1,2,35,2,1,NA,1,2,2,NA,NA
"73",10059377,1004956,2,6,46,1,1,1601.23168945312,1,1,2,NA,NA
"74",10059377,2004089,2,6,47,1,1,1979.52270507812,1,2,2,1601.23168945312,378.291015625
"75",10060111,1005022,1,6,29,2,1,1417.09008789062,1,1,2,NA,NA
"76",10060111,2004224,1,6,30,2,1,1446.11242675781,1,2,2,1417.09008789062,29.0223388671875
"77",10060146,1005022,1,6,51,2,1,1371.73059082031,1,1,2,NA,NA
"78",10060146,2004151,1,6,52,2,1,1500.533203125,1,2,2,1371.73059082031,128.802612304688
"79",10061606,1005146,2,2,34,4,1,1400,1,1,2,NA,NA
"80",10061606,2004364,2,4,35,4,1,NA,2,2,2,1400,NA
"81",10061649,1005146,1,2,29,2,1,1872.4404296875,1,1,2,NA,NA
"82",10061649,2004291,1,6,30,2,1,2058.58349609375,1,2,2,1872.4404296875,186.14306640625
"83",10062351,1005219,2,2,49,1,1,NA,1,1,2,NA,NA
"84",10062351,2004437,2,2,49,1,1,NA,1,2,2,NA,NA
"85",10062386,1005219,1,2,48,NA,NA,NA,1,1,2,NA,NA
"86",10062386,2004437,1,2,49,4,1,NA,1,2,2,NA,NA
"87",10063102,1005278,2,6,36,1,1,NA,1,1,2,NA,NA
"88",10063102,2004585,2,6,37,1,1,NA,1,2,2,NA,NA
"89",10064966,1005421,1,3,70,7,2,NA,1,1,2,NA,NA
"90",10064966,2004658,1,3,70,7,1,NA,1,2,2,NA,NA
"91",10067248,1005618,2,1,37,1,1,1100.84680175781,1,1,2,NA,NA
"92",10067248,2004801,2,1,38,1,1,1231.94763183594,1,2,2,1100.84680175781,131.100830078125
"93",10070567,1005898,1,6,56,7,1,1080.83142089844,1,1,2,NA,NA
"94",10070567,2004941,1,6,57,7,1,1000.76983642578,1,2,2,1080.83142089844,-80.0615844726562
"95",10071687,1005987,1,2,29,7,2,1040,1,1,2,NA,NA
"96",10071687,2005018,1,1,31,7,1,1083.33337402344,3,2,2,1040,43.3333740234375
"97",10071717,1005987,2,2,29,7,2,953.333312988281,1,1,2,NA,NA
"98",10071717,2005018,2,1,30,7,1,953.333312988281,3,2,2,953.333312988281,0
"99",10076166,1006363,2,3,77,7,1,NA,1,1,2,NA,NA
"100",10076166,2005158,2,3,78,7,1,NA,1,2,2,NA,NA
"101",10077316,1006452,1,6,25,5,1,964.166687011719,1,1,2,NA,NA
"102",10077316,2005239,1,6,25,5,1,1097.84448242188,1,2,2,964.166687011719,133.677795410156
"103",10078401,1006541,1,6,60,4,1,NA,1,1,2,NA,NA
"104",10078401,2005441,1,6,61,4,1,NA,1,2,2,NA,NA
"105",10079521,1006649,1,1,49,NA,NA,NA,1,1,2,NA,NA
"106",10079521,2005514,1,1,50,NA,NA,NA,1,2,2,NA,NA
"107",10079556,1006649,2,1,36,7,1,433.333343505859,1,1,2,NA,NA
"108",10079556,2005514,2,1,37,7,1,606.666687011719,1,2,2,433.333343505859,173.333343505859
"109",10079599,1006649,2,6,18,4,1,156,1,1,2,NA,NA
"110",10079599,2005514,2,6,20,4,1,NA,1,2,2,156,NA
"111",10080643,1006738,2,4,43,5,1,1501.15478515625,1,1,2,NA,NA
"112",10080643,2005948,2,4,44,5,1,982.246887207031,1,2,2,1501.15478515625,-518.907897949219
"113",10080678,1006738,1,6,17,5,1,NA,1,1,2,NA,NA
"114",10080678,2005948,1,6,17,5,1,NA,1,2,2,NA,NA
"115",10081798,1006827,2,1,72,7,1,NA,1,1,2,NA,NA
"116",10081798,2006154,2,1,73,7,1,NA,1,2,2,NA,NA
"117",10082883,1006916,1,1,82,7,1,NA,1,1,2,NA,NA
"118",10082883,2006294,1,1,83,NA,NA,NA,1,2,2,NA,NA
"119",10082913,1006916,2,1,75,7,1,NA,1,1,2,NA,NA
"120",10082913,2006294,2,1,76,7,1,NA,1,2,2,NA,NA
"121",10086242,1007203,1,3,74,7,2,NA,1,1,2,NA,NA
"122",10086242,2006448,1,3,75,7,2,NA,1,2,2,NA,NA
"123",10087362,1007297,1,1,49,7,1,1327.08337402344,1,1,2,NA,NA
"124",10087362,2006529,1,1,49,7,1,1661.27795410156,1,2,2,1327.08337402344,334.194580078125
"125",10087397,1007297,2,1,44,7,1,931.666687011719,1,1,2,NA,NA
