"","pid","ahid","asex","amastat","aage","aqfachi","alknbrd","apaygu","aregion","wave1","bhid","bsex","bmastat","bage","bqfachi","blknbrd","bpaygu","bregion","wave2","paych","change_pay"
"1",10004491,1000381,1,6,28,2,1,NA,1,1,2000148,1,6,29,2,1,NA,1,1,NA,NA
"2",10004521,1000381,1,6,26,2,1,NA,1,1,2000148,1,6,27,2,NA,NA,1,1,NA,NA
"3",10007857,1000667,2,3,57,5,2,780,1,1,2000296,2,3,59,5,2,611.970825195312,1,1,-168.029174804688,-168.029174804688
"4",10014578,1001221,2,1,54,7,1,NA,1,1,2000369,2,1,55,7,1,NA,1,1,NA,NA
"5",10014608,1001221,1,1,57,1,1,3302.54052734375,1,1,2000369,1,1,58,1,1,3442.64819335938,1,1,140.107666015625,140.107666015625
"6",10016813,1001418,1,1,36,5,1,NA,1,1,2000504,1,1,37,5,1,NA,1,1,NA,NA
"7",10016848,1001418,2,1,32,NA,NA,NA,1,1,2000504,2,1,33,5,1,614.47265625,1,1,NA,NA
"8",10017933,1001507,2,1,49,2,1,NA,1,1,2000717,2,1,49,2,1,NA,1,1,NA,NA
"9",10017968,1001507,1,1,46,2,1,1541.66662597656,1,1,2000717,1,1,46,2,1,1707.31335449219,1,1,165.646728515625,165.646728515625
"10",10019057,1001604,2,6,59,7,1,NA,1,1,2000938,2,6,60,7,1,NA,1,1,NA,NA
"11",10020179,1001698,1,4,52,7,1,NA,1,1,2001004,1,4,53,7,1,NA,1,1,NA,NA
"12",10020209,1001698,2,4,50,7,1,862.333312988281,1,1,2001004,2,4,51,7,1,693.533508300781,1,1,-168.7998046875,-168.7998046875
"13",10020233,1001698,1,6,19,5,1,NA,1,1,2001004,1,6,20,5,1,NA,1,1,NA,NA
"14",10023526,1001973,2,6,38,7,1,845,1,1,2001217,2,1,39,7,1,953.333312988281,1,1,108.333312988281,108.333312988281
"15",10023569,1001973,1,6,35,5,1,NA,1,1,2001217,1,1,36,5,1,433.333343505859,1,1,NA,NA
"16",10024646,1002066,1,6,25,4,1,600.4619140625,1,1,2001357,1,6,26,4,1,800.615844726562,1,1,200.153930664062,200.153930664062
"17",10025766,1002163,1,6,24,3,1,NA,1,1,2001438,1,6,25,3,1,NA,1,1,NA,NA
"18",10025804,1002163,1,6,28,NA,NA,NA,1,1,2001438,1,6,29,4,1,NA,1,1,NA,NA
"19",10028005,1002341,1,6,30,5,1,1501.15478515625,1,1,2001586,1,6,31,5,1,1636.25866699219,1,1,135.103881835938,135.103881835938
"20",10028382,1002376,1,6,23,3,1,2166.25,1,1,2001659,1,6,24,3,1,2146.75,1,1,-19.5,-19.5
"21",10029133,1002449,2,2,29,4,2,917.705932617188,1,1,2002019,2,6,30,4,1,966.74365234375,1,1,49.0377197265625,49.0377197265625
"22",10040331,1003372,2,4,38,7,1,NA,1,1,2002086,2,4,39,7,1,NA,1,1,NA,NA
"23",10040366,1003372,2,6,20,7,1,NA,1,1,2002086,2,6,21,7,1,NA,1,1,NA,NA
"24",10040404,1003372,2,6,18,5,1,NA,1,1,2002086,2,6,18,5,1,NA,1,1,NA,NA
"25",10047069,1003933,1,1,30,7,1,NA,1,1,2002507,1,1,31,7,2,NA,1,1,NA,NA
"26",10047093,1003933,2,1,29,7,1,NA,1,1,2002507,2,1,29,7,2,NA,1,1,NA,NA
"27",10048189,1004026,1,1,47,NA,NA,NA,1,1,2002728,1,1,48,NA,NA,NA,1,1,NA,NA
"28",10048219,1004026,2,1,43,7,1,394.333343505859,1,1,2002728,2,1,43,7,1,403,1,1,8.66665649414062,8.66665649414062
"29",10048243,1004026,2,6,21,5,NA,908.753173828125,1,1,2002728,2,6,22,5,1,909.699768066406,1,1,0.94659423828125,0.94659423828125
"30",10048278,1004026,2,6,19,3,1,260,1,1,2002728,2,6,20,3,1,225.33332824707,1,1,-34.6666717529297,-34.6666717529297
"31",10049304,1004123,2,1,35,7,1,221,1,1,2003082,2,1,36,7,1,NA,1,1,NA,NA
"32",10049339,1004123,1,1,43,4,1,NA,1,1,2003082,1,1,44,4,1,NA,1,1,NA,NA
"33",10051538,1004301,2,6,22,5,2,NA,1,1,2003368,2,6,23,5,1,NA,1,1,NA,NA
"34",10055266,1004611,2,6,24,5,2,NA,1,1,2003724,2,6,25,5,2,NA,1,1,NA,NA
"35",10057137,1004778,2,6,27,4,1,1300,1,1,2003937,2,6,28,4,1,1351.03930664062,1,1,51.039306640625,51.039306640625
"36",10058257,1004867,1,6,34,2,1,NA,1,1,2004003,1,2,35,2,1,NA,1,1,NA,NA
"37",10059377,1004956,2,6,46,1,1,1601.23168945312,1,1,2004089,2,6,47,1,1,1979.52270507812,1,1,378.291015625,378.291015625
"38",10060111,1005022,1,6,29,2,1,1417.09008789062,1,1,2004224,1,6,30,2,1,1446.11242675781,1,1,29.0223388671875,29.0223388671875
"39",10060146,1005022,1,6,51,2,1,1371.73059082031,1,1,2004151,1,6,52,2,1,1500.533203125,1,1,128.802612304688,128.802612304688
"40",10061606,1005146,2,2,34,4,1,1400,1,1,2004364,2,4,35,4,1,NA,2,1,NA,NA
"41",10061649,1005146,1,2,29,2,1,1872.4404296875,1,1,2004291,1,6,30,2,1,2058.58349609375,1,1,186.14306640625,186.14306640625
